Code	Classification
77701092	FROZEN
77701093	POTENTIAL
77701094	POTENTIAL
77701095	FROZEN
77701096	CUSTOMER
77701097	CUSTOMER
77701098	POTENTIAL
77701099	CUSTOMER
77701100	CLOSED
77701101	POTENTIAL
77701102	CUSTOMER
77701103	CLOSED
77701104	POTENTIAL
77701105	CUSTOMER
77701106	CLOSED
77701107	CLOSED
77701108	POTENTIAL
77701109	CUSTOMER
77701110	CUSTOMER
77701111	CUSTOMER
77701112	CUSTOMER
77701113	POTENTIAL
77701114	ENGAGE
77701115	CUSTOMER
77701116	CLOSED
77701117	POTENTIAL
77701118	POTENTIAL
77701119	CLOSED
77701120	POTENTIAL
77701121	CUSTOMER
77701122	POTENTIAL
77701123	CUSTOMER
77701124	FROZEN
77701125	CUSTOMER
77701126	CLOSED
77701127	POTENTIAL
77701128	FROZEN
77701129	CLOSED
77701130	CLOSED
77701131	ENGAGE
77701132	CUSTOMER
77701133	CLOSED
77701134	CLOSED
77701135	FROZEN
77701136	FROZEN
77701137	FROZEN
77701138	POTENTIAL
77701139	POTENTIAL
77701140	POTENTIAL
77701141	CUSTOMER
77701142	FROZEN
77701143	CLOSED
77701144	POTENTIAL
77701145	FROZEN
77701146	CUSTOMER
77701147	FROZEN
77701148	POTENTIAL
77701149	FROZEN
77701150	POTENTIAL
77701151	CUSTOMER
77701152	CUSTOMER
77701153	FROZEN
77701154	CUSTOMER
77701155	CLOSED
77701156	CLOSED
77701157	CUSTOMER
77701158	CUSTOMER
77701159	CLOSED
77701160	CLOSED
77701161	FROZEN
77701162	CLOSED
77701163	POTENTIAL
77701164	POTENTIAL
77701165	CLOSED
77701166	CLOSED
77701167	POTENTIAL
77701168	CUSTOMER
77701169	FROZEN
77701170	CLOSED
77701171	POTENTIAL
77701172	CUSTOMER
77701173	FROZEN
77701174	CLOSED
77701175	POTENTIAL
77701176	CUSTOMER
77701177	POTENTIAL
77701178	CLOSED
77701179	CUSTOMER
77701180	POTENTIAL
77701181	FROZEN
77701182	FROZEN
77701183	CLOSED
77701184	CLOSED
77701185	POTENTIAL
77701186	CLOSED
77701187	CUSTOMER
77701188	POTENTIAL
77701189	CUSTOMER
77701190	CLOSED
77701191	POTENTIAL
77701192	POTENTIAL
77701193	POTENTIAL
77701194	INTERNAL
77701195	CLOSED
77701196	CLOSED
77701197	CLOSED
77701198	POTENTIAL
77701199	CLOSED
77701200	EKO
77701201	CLOSED
77701202	POTENTIAL
77701203	CUSTOMER
77701204	CUSTOMER
77701205	CUSTOMER
77701206	FROZEN
77701207	POTENTIAL
77701208	POTENTIAL
77701209	CUSTOMER
77701210	CLOSED
77701211	CLOSED
77701212	CLOSED
77701213	CLOSED
77701214	CLOSED
77701215	CLOSED
77701216	CLOSED
77701217	CLOSED
77701218	CLOSED
77701219	CUSTOMER
77701220	CLOSED
77701221	EKO
77701222	CUSTOMER
77701223	PETROLINA
77701224	CUSTOMER
77701225	CUSTOMER
77701226	FROZEN
77701227	FROZEN
77701228	CUSTOMER
77701229	CLOSED
77701230	CLOSED
77701231	POTENTIAL
77701232	INTERNAL
77701233	POTENTIAL
77701234	INTERNAL
77701235	CUSTOMER
77701236	EKO
77701237	INTERNAL
77701238	POTENTIAL
77701239	INTERNAL
77701240	CUSTOMER
77701241	EKO
77701242	EKO
77701243	INTERNAL
77701244	CLOSED
77701245	CUSTOMER
77701246	INTERNAL
77701247	POTENTIAL
77701248	CUSTOMER
77701249	POTENTIAL
